character,defination
㹠,<big><font color='#f00' style='font-family: serif !important;'>tún</font></big><br>• old variant of 豚[tún]<br>
㹢,<big><font color='#f00' style='font-family: serif !important;'>jiā</font></big><br>• see 玃[jué]<br>
㹴,<big><font color='#f00' style='font-family: serif !important;'>gěng</font></big><br>• fierce dog<br>
㺢,<big><font color='#f00' style='font-family: serif !important;'>huò</font></big><br>• see 㺢㹢狓[huò jiā pī]<br>
㺵,<big><font color='#f00' style='font-family: serif !important;'>jiǔ</font></big><br>• variant of 玖[jiǔ]<br>• black jade<br>
㻽,<big><font color='#f00' style='font-family: serif !important;'>xuán</font></big><br>• variant of 璿|璇[xuán]<br>• also pr. [suì]<br>
㼝,<big><font color='#f00' style='font-family: serif !important;'>wǎn</font></big><br>• variant of 碗[wǎn]<br>
㽞,<big><font color='#f00' style='font-family: serif !important;'>liú</font></big><br>• old variant of 留[liú]<br>
㽮,<big><font color='#f00' style='font-family: serif !important;'>xīng</font></big><br>• old variant of 星[xīng]<br>
㿜,<big><font color='#f00' style='font-family: serif !important;'>biě</font></big><br>• variant of 癟|瘪[biě]<br>
㿝,<big><font color='#f00' style='font-family: serif !important;'>xiāng</font></big><br>• old variant of 香[xiāng]<br>
䂖,<big><font color='#f00' style='font-family: serif !important;'>shí</font></big><br>• variant of 石[shí]<br>
䂲,<big><font color='#f00' style='font-family: serif !important;'>fǎ</font></big><br>• variant of 砝[fǎ]<br>
䂶,<big><font color='#f00' style='font-family: serif !important;'>jié</font></big><br>• variant of 蜐[jié]<br>
䃉,<big><font color='#f00' style='font-family: serif !important;'>mín</font></big><br>• old variant of 珉[mín]<br>
䅵,<big><font color='#f00' style='font-family: serif !important;'>zhuó</font></big><br>• chaff<br>• bran<br>
䇲,<big><font color='#f00' style='font-family: serif !important;'>cè</font></big><br>• variant of 筴|策[cè]<br>
䈰,<font color='#f00'>ㄕㄠ</font><br>• pot-scrubbing brush made of bamboo strips<br>• basket (container) for chopsticks<br>• variant of 筲[shāo]<br>
䊀,<big><font color='#f00' style='font-family: serif !important;'>hú</font></big><br>• variant of 糊[hú]<br>
䍃,<font color='#f00'>ㄧㄠˊ</font><br>• (archaic) vase<br>• pitcher<br>
䍹,<big><font color='#f00' style='font-family: serif !important;'>shān</font></big><br>• variant of 羶[shān]<br>
䒗,<big><font color='#f00' style='font-family: serif !important;'>qì</font></big><br>• old variant of 芞[qì]<br>
䔢,<big><font color='#f00' style='font-family: serif !important;'>huá</font></big><br>• old variant of 華|华[huá]<br>
䕭,<big><font color='#f00' style='font-family: serif !important;'>qián</font></big><br>• a variety of grass<br>• nettle<br>
䕭,<big><font color='#f00' style='font-family: serif !important;'>xián</font></big><br>• a kind of vegetable<br>
䖟,<big><font color='#f00' style='font-family: serif !important;'>méng</font></big><br>• old variant of 虻[méng]<br>
䖸,<big><font color='#f00' style='font-family: serif !important;'>é</font></big><br>• variant of 蛾[é]<br>
䗈,<big><font color='#f00' style='font-family: serif !important;'>méng</font></big><br>• old variant of 虻[méng]<br>
䗥,<big><font color='#f00' style='font-family: serif !important;'>zōng</font></big><br>• see 螉䗥[wēng zōng]<br>
䗪,<big><font color='#f00' style='font-family: serif !important;'>zhè</font></big><br>• Chinese ground beetle (Eupolyphaga sinensis)<br>
䗬,<big><font color='#f00' style='font-family: serif !important;'>fēng</font></big><br>• variant of 蜂[fēng]<br>
䗶,<big><font color='#f00' style='font-family: serif !important;'>là</font></big><br>• old variant of 蠟|蜡[là]<br>
䘏,<big><font color='#f00' style='font-family: serif !important;'>xù</font></big><br>• variant of 恤[xù]<br>
䘑,<big><font color='#f00' style='font-family: serif !important;'>mài</font></big><br>• old variant of 脈|脉[mài]<br>
䘚,<big><font color='#f00' style='font-family: serif !important;'>zú</font></big><br>• variant of 卒[zú]<br>
䛐,<font color='#f00'>ㄘˊ</font><br>• old variant of 詞|词[cí]<br>
䛟,<font color='#f00'>ㄐㄧㄚˊ</font><br>• variant of 唊[jiá]<br>
䝓,<big><font color='#f00' style='font-family: serif !important;'>liè</font></big><br>• old variant of 鬣[liè]<br>
䝔,<big><font color='#f00' style='font-family: serif !important;'>huān</font></big><br>• variant of 獾[huān]<br>
