character,defination
㥁,<big><font color='#f00'>dé</font></big><font face='AR UDJingxihei'><br>• variant of 德[dé]<br></font>
㥏,<big><font color='#f00'>tiǎn</font></big><font face='AR UDJingxihei'><br>• ashamed<br></font>
㥦,<big><font color='#f00'>qiè</font></big><font face='AR UDJingxihei'><br>• variant of 愜|惬[qiè]<br></font>
㥯,<big><font color='#f00'>yǐn</font></big><font face='AR UDJingxihei'><br>• cautious<br></font>
㦂,<big><font color='#f00'>cháng</font></big><font face='AR UDJingxihei'><br>• old variant of 常[cháng]<br></font>
㧯,<big><font color='#f00'>lǎo</font></big><font face='AR UDJingxihei'><br>• round-bottomed wicker basket<br>• (dialect) to lift<br>• to carry on one's shoulder<br></font>
㧱,<big><font color='#f00'>ná</font></big><font face='AR UDJingxihei'><br>• old variant of 拿[ná]<br></font>
㨃,<big><font color='#f00'>duǐ</font></big><font face='AR UDJingxihei'><br>• variant of 懟|怼[duǐ]<br></font>
㨗,<big><font color='#f00'>jié</font></big><font face='AR UDJingxihei'><br>• variant of 捷[jié]<br>• quick<br>• nimble<br></font>
㨪,<big><font color='#f00'>huǎng</font></big><font face='AR UDJingxihei'><br>• variant of 晃[huǎng]<br></font>
㨿,<big><font color='#f00'>jù</font></big><font face='AR UDJingxihei'><br>• variant of 據|据[jù]<br></font>
㩐,<big><font color='#f00'>dèn</font></big><font face='AR UDJingxihei'><br>• variant of 扽[dèn]<br></font>
㩗,<big><font color='#f00'>xié</font></big><font face='AR UDJingxihei'><br>• old variant of 攜|携[xié]<br></font>
㩜,<big><font color='#f00'>lǎn</font></big><font face='AR UDJingxihei'><br>• variant of 擥[lǎn]<br></font>
㩦,<big><font color='#f00'>xié</font></big><font face='AR UDJingxihei'><br>• old variant of 攜|携[xié]<br></font>
㪃,<big><font color='#f00'>hé</font></big><font face='AR UDJingxihei'><br>• to beat<br>• to hit<br></font>
㪋,<big><font color='#f00'>hàn</font></big><font face='AR UDJingxihei'><br>• variant of 捍[hàn]<br></font>
㪚,<big><font color='#f00'>sàn</font></big><font face='AR UDJingxihei'><br>• variant of 散[sàn]<br></font>
㪟,<big><font color='#f00'>dūn</font></big><font face='AR UDJingxihei'><br>• variant of 敦[dūn]<br></font>
